Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jan-25,EQ,522.55,528.8,509,521.8,515.5,514.85,517.54,895.85,432,"49,43,171","2,55,83,11,819.25","93,282"
23-Jan-25,EQ,525.25,537.95,518.7,525.45,522.2,521.8,527.03,895.85,432,"43,37,709","2,28,61,18,965.90","86,542"
22-Jan-25,EQ,530.9,533,513.55,528.75,525.25,525.45,520.34,895.85,432,"35,06,011","1,82,43,05,677.70","68,766"
21-Jan-25,EQ,545,549.75,526.25,543.8,530,528.75,537.78,895.85,432,"39,47,487","2,12,28,87,017.80","73,367"
20-Jan-25,EQ,551.25,554.1,539,551.3,542.5,543.8,544.99,895.85,432,"46,48,954","2,53,36,19,497.15","83,522"
17-Jan-25,EQ,562.95,573.55,545,563,548.4,551.3,559.5,895.85,432,"1,02,90,018","5,75,72,60,544.30","1,60,091"
16-Jan-25,EQ,585,598.4,556.4,549.45,562,563,569.97,895.85,432,"2,15,63,434","12,29,06,17,927.05","3,03,930"
15-Jan-25,EQ,539.95,571.9,523,537,547,549.45,549.31,895.85,432,"3,91,18,967","21,48,82,45,346.75","5,52,928"
14-Jan-25,EQ,460,539.85,459.95,449.9,539.85,537,519,895.85,432,"5,11,13,423","26,52,81,00,215.90","5,57,617"
13-Jan-25,EQ,476.05,477.95,445,482.3,452.7,449.9,462.23,895.85,432,"53,69,628","2,48,20,27,653.95","1,34,801"
10-Jan-25,EQ,498,502.9,478.45,497.9,482.75,482.3,486.02,895.85,432,"36,38,409","1,76,83,41,686.60","96,597"
09-Jan-25,EQ,507,508.8,496.3,504.95,498,497.9,502.3,895.85,432,"17,23,426","86,56,80,386.40","44,593"
08-Jan-25,EQ,514.45,514.45,502.9,509.85,505.7,504.95,506.4,895.85,432,"23,12,110","1,17,08,48,667.05","44,823"
07-Jan-25,EQ,498.95,521.45,497.55,498.3,508.75,509.85,512.08,895.85,432,"56,06,797","2,87,11,34,689.05","1,01,228"
06-Jan-25,EQ,519,520,496,520.45,498.05,498.3,505.19,895.85,432,"29,87,088","1,50,90,54,881.55","80,483"
03-Jan-25,EQ,523,532.25,518.05,521.8,519,520.45,524.81,895.85,432,"29,65,056","1,55,60,81,480.15","53,360"
02-Jan-25,EQ,529,529.8,520,526.65,521.55,521.8,524.09,895.85,432,"20,56,552","1,07,78,26,456.20","44,369"
01-Jan-25,EQ,531,534.35,525,529.45,525.5,526.65,528.83,895.85,432,"30,63,854","1,62,02,46,566.60","53,929"
31-Dec-24,EQ,533,537.4,523.6,539.45,526.1,529.45,529.22,895.85,432,"44,72,016","2,36,66,58,724.15","81,945"
30-Dec-24,EQ,508,558.9,501.5,506.75,543.05,539.45,531.33,895.85,432,"1,48,14,886","7,87,15,46,296.05","2,00,211"
27-Dec-24,EQ,510.5,513.75,504.35,507.15,506.1,506.75,508.64,895.85,432,"46,71,940","2,37,63,21,021.45","82,634"
26-Dec-24,EQ,498,515.8,495.6,496,507,507.15,507.7,895.85,432,"67,03,228","3,40,32,33,089.40","1,09,758"
24-Dec-24,EQ,506,509.8,495,504.1,496,496,502.2,895.85,432,"32,80,956","1,64,76,88,244.80","63,257"
23-Dec-24,EQ,504.9,510,494.65,497.9,504.9,504.1,502.52,895.85,432,"39,71,433","1,99,57,12,185.70","86,632"
20-Dec-24,EQ,511.4,527,491.05,508.3,496.7,497.9,512.6,895.85,432,"80,79,059","4,14,13,29,108.95","1,39,663"
