Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
20-Jan-25,EQ,"2,356.45","2,368.00","2,335.65","2,354.00","2,345.55","2,345.20","2,355.89","3,035.00","2,172.05","13,82,273","3,25,64,89,786.35","67,506"
17-Jan-25,EQ,"2,350.00","2,379.30","2,343.00","2,345.00","2,362.00","2,354.00","2,365.15","3,035.00","2,172.05","13,33,005","3,15,27,60,450.55","68,739"
16-Jan-25,EQ,"2,376.95","2,380.00","2,326.05","2,373.00","2,349.50","2,345.00","2,343.93","3,035.00","2,172.05","27,62,596","6,47,53,44,420.20","1,28,063"
15-Jan-25,EQ,"2,373.90","2,384.90","2,350.10","2,367.95","2,376.80","2,373.00","2,366.20","3,035.00","2,172.05","12,15,150","2,87,52,84,855.95","92,165"
14-Jan-25,EQ,"2,465.00","2,468.00","2,364.10","2,451.00","2,369.00","2,367.95","2,394.77","3,035.00","2,172.05","20,52,741","4,91,58,46,431.35","1,57,018"
13-Jan-25,EQ,"2,417.05","2,460.50","2,409.05","2,442.05","2,445.10","2,451.00","2,442.56","3,035.00","2,172.05","25,95,013","6,33,84,74,538.50","1,04,958"
10-Jan-25,EQ,"2,435.40","2,456.00","2,413.80","2,435.40","2,440.00","2,442.05","2,442.55","3,035.00","2,172.05","16,51,911","4,03,48,81,031.30","97,429"
09-Jan-25,EQ,"2,405.05","2,473.65","2,386.40","2,401.00","2,440.00","2,435.40","2,444.30","3,035.00","2,172.05","24,25,267","5,92,80,73,050.80","1,92,379"
08-Jan-25,EQ,"2,391.00","2,409.00","2,368.00","2,390.80","2,400.00","2,401.00","2,393.65","3,035.00","2,172.05","9,53,351","2,28,19,90,630.75","1,30,405"
07-Jan-25,EQ,"2,377.15","2,402.25","2,375.25","2,376.20","2,390.25","2,390.80","2,388.79","3,035.00","2,172.05","9,22,768","2,20,43,02,406.55","71,444"
06-Jan-25,EQ,"2,418.00","2,418.95","2,361.65","2,406.25","2,379.65","2,376.20","2,377.99","3,035.00","2,172.05","9,00,419","2,14,11,89,399.05","74,651"
03-Jan-25,EQ,"2,381.85","2,414.60","2,364.80","2,370.00","2,403.00","2,406.25","2,393.44","3,035.00","2,172.05","12,74,239","3,04,98,14,135.20","87,897"
02-Jan-25,EQ,"2,330.00","2,379.65","2,315.50","2,322.10","2,368.50","2,370.00","2,358.14","3,035.00","2,172.05","16,50,744","3,89,26,88,213.10","1,00,398"
01-Jan-25,EQ,"2,325.00","2,337.15","2,320.25","2,326.85","2,324.45","2,322.10","2,326.59","3,035.00","2,172.05","5,59,893","1,30,26,42,477.40","57,042"
31-Dec-24,EQ,"2,340.00","2,352.65","2,323.25","2,343.50","2,327.00","2,326.85","2,335.10","3,035.00","2,172.05","18,78,762","4,38,70,88,011.30","70,179"
30-Dec-24,EQ,"2,341.50","2,359.15","2,325.00","2,341.25","2,338.00","2,343.50","2,340.30","3,035.00","2,172.05","9,24,180","2,16,28,56,965.35","74,914"
27-Dec-24,EQ,"2,343.00","2,345.65","2,328.25","2,332.75","2,344.00","2,341.25","2,339.22","3,035.00","2,172.05","5,56,816","1,30,25,13,246.55","50,788"
26-Dec-24,EQ,"2,332.25","2,341.85","2,324.70","2,335.55","2,329.00","2,332.75","2,333.56","3,035.00","2,172.05","10,33,769","2,41,23,64,355.00","65,903"
24-Dec-24,EQ,"2,331.10","2,356.95","2,331.10","2,338.90","2,333.00","2,335.55","2,342.87","3,035.00","2,172.05","6,83,646","1,60,16,90,436.25","52,515"
23-Dec-24,EQ,"2,337.00","2,351.75","2,315.25","2,333.90","2,339.55","2,338.90","2,335.09","3,035.00","2,172.05","10,66,199","2,48,96,73,239.80","78,523"
20-Dec-24,EQ,"2,352.10","2,373.50","2,324.65","2,359.85","2,340.10","2,333.90","2,346.13","3,035.00","2,172.05","20,69,691","4,85,57,73,158.80","1,03,192"
19-Dec-24,EQ,"2,347.00","2,386.95","2,336.00","2,359.20","2,363.85","2,359.85","2,356.41","3,035.00","2,172.05","16,55,915","3,90,20,08,200.55","1,10,359"
18-Dec-24,EQ,"2,350.05","2,383.00","2,350.05","2,363.25","2,361.95","2,359.20","2,365.50","3,035.00","2,172.05","9,88,403","2,33,80,63,393.95","67,462"
