Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jan-25,EQ,"1,865.50","1,894.90","1,864.25","1,865.45","1,875.00","1,875.45","1,881.56","2,006.45","1,358.35","48,87,027","9,19,52,42,026.10","2,94,925"
23-Jan-25,EQ,"1,858.00","1,879.55","1,852.70","1,856.45","1,864.80","1,865.45","1,868.88","2,006.45","1,358.35","59,07,471","11,04,03,65,439.10","3,05,255"
22-Jan-25,EQ,"1,807.40","1,865.80","1,805.15","1,800.70","1,855.00","1,856.45","1,846.53","2,006.45","1,358.35","83,73,913","15,46,26,99,193.55","4,93,438"
21-Jan-25,EQ,"1,819.05","1,831.65","1,793.05","1,813.30","1,804.00","1,800.70","1,814.25","2,006.45","1,358.35","71,69,109","13,00,65,82,697.55","2,52,390"
20-Jan-25,EQ,"1,822.95","1,827.95","1,793.15","1,815.45","1,813.00","1,813.30","1,809.37","2,006.45","1,358.35","43,33,011","7,84,00,06,233.80","1,92,938"
17-Jan-25,EQ,"1,851.00","1,858.00","1,812.00","1,928.45","1,817.50","1,815.45","1,824.17","2,006.45","1,358.35","1,64,09,953","29,93,46,01,377.85","5,03,030"
16-Jan-25,EQ,"1,965.95","1,966.95","1,916.85","1,949.65","1,920.05","1,928.45","1,939.38","2,006.45","1,358.35","75,33,579","14,61,04,85,616.25","2,33,848"
15-Jan-25,EQ,"1,947.00","1,958.05","1,937.10","1,940.05","1,951.65","1,949.65","1,949.16","2,006.45","1,358.35","29,85,439","5,81,90,96,239.50","1,53,629"
14-Jan-25,EQ,"1,968.85","1,971.80","1,931.10","1,962.20","1,938.00","1,940.05","1,943.92","2,006.45","1,358.35","57,92,162","11,25,94,72,879.00","2,67,855"
13-Jan-25,EQ,"1,956.00","1,982.80","1,949.00","1,966.95","1,963.00","1,962.20","1,965.87","2,006.45","1,358.35","58,04,152","11,41,01,82,349.85","2,24,017"
10-Jan-25,EQ,"1,937.00","1,977.80","1,932.25","1,917.30","1,965.80","1,966.95","1,961.18","2,006.45","1,358.35","80,36,913","15,76,18,35,256.95","3,51,137"
09-Jan-25,EQ,"1,934.05","1,951.85","1,910.55","1,933.15","1,920.10","1,917.30","1,928.12","2,006.45","1,358.35","68,33,503","13,17,58,34,552.90","2,28,829"
08-Jan-25,EQ,"1,930.00","1,938.60","1,888.75","1,930.85","1,932.75","1,933.15","1,916.14","2,006.45","1,358.35","54,82,050","10,50,43,91,305.45","2,10,525"
07-Jan-25,EQ,"1,945.00","1,958.55","1,923.65","1,937.85","1,929.00","1,930.85","1,936.28","2,006.45","1,358.35","42,94,832","8,31,59,96,332.75","2,50,125"
06-Jan-25,EQ,"1,952.00","1,973.00","1,928.00","1,938.75","1,939.00","1,937.85","1,943.77","2,006.45","1,358.35","71,64,403","13,92,59,86,567.85","2,47,931"
03-Jan-25,EQ,"1,952.95","1,952.95","1,922.00","1,957.85","1,939.10","1,938.75","1,936.53","2,006.45","1,358.35","62,18,003","12,04,13,66,929.80","2,26,724"
02-Jan-25,EQ,"1,887.00","1,962.65","1,885.30","1,882.50","1,954.75","1,957.85","1,944.51","2,006.45","1,358.35","70,83,645","13,77,42,39,233.15","2,39,506"
01-Jan-25,EQ,"1,874.00","1,892.95","1,874.00","1,880.00","1,885.00","1,882.50","1,884.95","2,006.45","1,358.35","18,38,368","3,46,52,23,831.85","69,020"
31-Dec-24,EQ,"1,892.30","1,897.00","1,845.05","1,906.00","1,885.65","1,880.00","1,872.77","2,006.45","1,358.35","36,13,063","6,76,64,28,350.50","1,50,014"
30-Dec-24,EQ,"1,915.70","1,916.00","1,886.50","1,916.75","1,898.45","1,906.00","1,903.27","2,006.45","1,358.35","77,89,055","14,82,47,04,664.65","1,80,342"
27-Dec-24,EQ,"1,909.40","1,924.15","1,903.90","1,907.40","1,917.00","1,916.75","1,912.07","2,006.45","1,358.35","39,37,500","7,52,87,76,747.25","1,08,688"
26-Dec-24,EQ,"1,909.05","1,919.75","1,902.30","1,909.05","1,909.00","1,907.40","1,908.04","2,006.45","1,358.35","36,23,321","6,91,34,42,832.95","1,23,979"
24-Dec-24,EQ,"1,927.05","1,942.00","1,840.00","1,924.30","1,903.35","1,909.05","1,918.59","2,006.45","1,358.35","23,60,544","4,52,89,21,027.25","93,412"
23-Dec-24,EQ,"1,930.05","1,940.00","1,909.00","1,922.15","1,921.00","1,924.30","1,923.61","2,006.45","1,358.35","27,81,793","5,35,10,92,778.15","1,27,723"
20-Dec-24,EQ,"1,975.15","1,979.95","1,911.25","1,946.20","1,927.80","1,922.15","1,932.55","2,006.45","1,358.35","1,10,56,720","21,36,76,88,611.40","2,70,540"
19-Dec-24,EQ,"1,934.00","1,959.75","1,920.00","1,979.15","1,948.50","1,946.20","1,940.72","2,006.45","1,358.35","53,23,592","10,33,16,27,136.20","1,97,114"
18-Dec-24,EQ,"1,966.80","1,984.95","1,961.60","1,976.60","1,979.00","1,979.15","1,976.08","2,006.45","1,358.35","30,64,095","6,05,49,11,475.20","1,38,618"
17-Dec-24,EQ,"1,968.00","1,982.00","1,958.00","1,980.05","1,974.00","1,976.60","1,971.86","2,006.45","1,358.35","58,11,050","11,45,85,71,096.45","2,43,202"
16-Dec-24,EQ,"1,995.45","1,999.60","1,977.60","1,999.70","1,979.20","1,980.05","1,985.38","2,006.45","1,358.35","31,19,221","6,19,28,34,340.70","1,58,954"
13-Dec-24,EQ,"1,969.75","2,006.45","1,953.80","1,987.00","1,999.00","1,999.70","1,985.40","2,006.45","1,358.35","53,62,693","10,64,70,66,758.55","2,43,211"
12-Dec-24,EQ,"1,975.20","1,998.80","1,970.55","1,974.15","1,985.10","1,987.00","1,989.23","1,998.80","1,358.35","64,62,130","12,85,46,35,035.90","2,86,504"
11-Dec-24,EQ,"1,955.00","1,978.00","1,952.00","1,948.55","1,967.30","1,974.15","1,968.23","1,991.45","1,358.35","50,25,612","9,89,15,78,979.60","2,01,273"
10-Dec-24,EQ,"1,939.00","1,965.60","1,932.00","1,923.65","1,947.10","1,948.55","1,947.08","1,991.45","1,358.35","61,74,921","12,02,30,85,384.00","2,19,707"
09-Dec-24,EQ,"1,924.20","1,930.20","1,897.20","1,922.40","1,926.95","1,923.65","1,912.43","1,991.45","1,358.35","42,74,645","8,17,49,59,449.55","1,69,220"
06-Dec-24,EQ,"1,932.80","1,937.95","1,912.40","1,934.85","1,919.00","1,922.40","1,921.54","1,991.45","1,358.35","35,73,331","6,86,63,14,025.75","1,33,773"
05-Dec-24,EQ,"1,900.00","1,949.90","1,888.95","1,889.25","1,935.00","1,934.85","1,925.05","1,991.45","1,358.35","90,50,038","17,42,17,67,118.35","3,00,510"
04-Dec-24,EQ,"1,884.00","1,913.95","1,875.00","1,892.10","1,892.00","1,889.25","1,895.14","1,991.45","1,358.35","47,05,573","8,91,77,17,924.90","2,15,259"
03-Dec-24,EQ,"1,887.00","1,899.75","1,871.15","1,879.80","1,890.00","1,892.10","1,891.36","1,991.45","1,358.35","47,15,792","8,91,92,59,125.80","1,65,988"
02-Dec-24,EQ,"1,859.00","1,882.80","1,835.20","1,857.85","1,877.45","1,879.80","1,868.92","1,991.45","1,358.35","28,68,263","5,36,05,64,446.55","1,43,774"
