Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jan-25,EQ,319,322.5,316.6,317.7,319.95,320.1,319.91,596,280.5,"1,74,79,586","5,59,19,40,063.10","1,62,614"
23-Jan-25,EQ,311.1,324.6,310.65,309.1,317.7,317.7,319.2,596,280.5,"3,99,04,371","12,73,74,62,398.95","3,72,523"
22-Jan-25,EQ,299.35,310,299.35,298.35,309.9,309.1,306.19,596,280.5,"3,08,59,317","9,44,87,83,185.70","2,61,178"
21-Jan-25,EQ,302.4,305.85,297.8,300.25,298.15,298.35,300.92,596,280.5,"1,56,19,474","4,70,02,25,888.20","1,36,792"
20-Jan-25,EQ,302,305.4,296.95,281.95,300.5,300.25,301.18,596,280.5,"3,93,80,165","11,86,03,40,505.50","2,91,765"
17-Jan-25,EQ,287.8,287.8,280.5,288.05,281.7,281.95,283.15,596,280.5,"93,58,955","2,65,00,06,805.45","1,22,143"
16-Jan-25,EQ,295.9,296.5,286.7,292.65,288.85,288.05,289.09,596,286.55,"1,03,45,666","2,99,08,29,442.60","1,45,955"
15-Jan-25,EQ,293,294.7,289.7,292.85,292.6,292.65,292.07,596,286.55,"46,62,694","1,36,18,15,377.05","77,903"
14-Jan-25,EQ,291.8,294.55,286.55,291.85,292.9,292.85,291.88,596,286.55,"76,70,070","2,23,87,39,925.35","94,571"
13-Jan-25,EQ,298.95,299.25,290.25,300.55,292.55,291.85,293.47,596,289.3,"95,41,248","2,80,00,66,624.10","1,11,331"
10-Jan-25,EQ,294.3,303.25,294.3,292.3,299.65,300.55,300.03,596,289.3,"1,95,05,556","5,85,22,12,907.90","1,95,857"
09-Jan-25,EQ,297,298,291.35,297.55,292.55,292.3,293.67,596,289.3,"79,64,702","2,33,90,25,845.65","1,11,802"
08-Jan-25,EQ,293,298.45,289.3,294.05,296.7,297.55,293.58,596,289.3,"79,37,785","2,33,03,69,706.15","87,090"
07-Jan-25,EQ,294.3,297.5,291.3,294.3,293.9,294.05,293.59,596,289.3,"73,81,943","2,16,72,52,622.45","79,777"
06-Jan-25,EQ,295,297.8,290.55,294.45,294,294.3,294.25,596,289.3,"91,73,687","2,69,93,22,101.00","1,27,575"
