Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jan-25,EQ,799.2,802.5,784.3,795.2,787,787.5,794.3,"1,138.90",743.75,"13,03,909","1,03,56,94,964.95","52,854"
23-Jan-25,EQ,770.6,797.4,766.8,770.65,795.25,795.2,788.54,"1,138.90",743.75,"12,35,738","97,44,31,222.00","45,143"
22-Jan-25,EQ,783.1,784.3,757.1,782.7,770,770.65,767.26,"1,138.90",743.75,"10,97,030","84,17,05,275.35","51,934"
21-Jan-25,EQ,791.95,797.5,781.25,791.1,782.5,782.7,788.07,"1,138.90",743.75,"8,73,078","68,80,47,902.60","37,785"
20-Jan-25,EQ,781,800.75,775.2,779.2,790.55,791.1,788.86,"1,138.90",743.75,"14,05,314","1,10,85,97,805.35","53,036"
17-Jan-25,EQ,764,781.9,759.1,763.2,779.4,779.2,772.81,"1,138.90",743.75,"14,89,997","1,15,14,87,397.65","47,900"
16-Jan-25,EQ,768,773.2,762,759.55,764,763.2,766.35,"1,138.90",743.75,"13,89,758","1,06,50,35,148.80","51,539"
15-Jan-25,EQ,760,770.4,755.05,757.75,761,759.55,761.81,"1,138.90",743.75,"8,65,946","65,96,82,223.45","38,049"
14-Jan-25,EQ,748,764.7,748,746.85,757.5,757.75,757.21,"1,138.90",743.75,"12,91,155","97,76,74,580.35","52,896"
13-Jan-25,EQ,779.15,779.15,743.75,779.15,748.45,746.85,757.1,"1,138.90",743.75,"16,44,645","1,24,51,59,276.35","74,919"
10-Jan-25,EQ,772.8,800.75,755.3,763.8,779.5,779.15,782.37,"1,138.90",755.3,"62,81,464","4,91,44,28,044.45","1,88,273"
09-Jan-25,EQ,770.15,771.1,762,769.9,765.8,763.8,765.77,"1,138.90",761.8,"6,07,785","46,54,25,064.60","29,577"
08-Jan-25,EQ,772.1,776,761.8,775.4,769.65,769.9,767.67,"1,138.90",761.8,"7,83,013","60,10,98,220.65","42,147"
07-Jan-25,EQ,770,783.4,770,770.35,774.6,775.4,776.77,"1,138.90",765,"6,76,868","52,57,67,526.45","39,698"
06-Jan-25,EQ,796,802.95,765,796.3,771.8,770.35,778.51,"1,138.90",765,"14,21,671","1,10,67,90,018.35","72,947"
