Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
08-Jan-25,EQ,955,963.85,945.45,955,960,961.6,954.9,"1,269.00",882.9,"12,35,226","1,17,95,22,453.55","51,279"
07-Jan-25,EQ,952,972,949.75,946.9,955,955,963.65,"1,269.00",882.9,"24,13,582","2,32,58,46,970.75","89,350"
06-Jan-25,EQ,935,955,929.1,939.45,950,946.9,943.79,"1,269.00",882.9,"26,92,614","2,54,12,71,085.60","1,18,698"
03-Jan-25,EQ,932.7,941.9,926,929.65,936,939.45,935.99,"1,269.00",882.9,"18,32,664","1,71,53,56,565.50","56,179"
02-Jan-25,EQ,921,931.25,913.05,920.3,926.9,929.65,926.24,"1,269.00",882.9,"17,05,632","1,57,98,23,237.75","60,523"
01-Jan-25,EQ,913,922.5,911,914.7,920.05,920.3,919.17,"1,269.00",882.9,"6,41,424","58,95,76,706.00","30,549"
31-Dec-24,EQ,899,917.15,893.1,903.5,915,914.7,909.02,"1,269.00",882.9,"11,20,133","1,01,82,27,188.95","47,877"
30-Dec-24,EQ,907.95,912,898.7,907.95,902.05,903.5,904.56,"1,269.00",882.9,"18,30,048","1,65,53,96,422.40","64,736"
27-Dec-24,EQ,902,911.4,899,900.95,906.9,907.95,906.92,"1,269.00",882.9,"8,70,974","78,99,05,392.50","40,906"
26-Dec-24,EQ,908,911.35,898.6,907.3,900,900.95,903.51,"1,269.00",882.9,"5,95,956","53,84,52,783.95","42,475"
24-Dec-24,EQ,904.95,912.95,896.8,902.75,905,907.3,907.84,"1,269.00",882.9,"10,38,280","94,25,93,704.70","38,242"
23-Dec-24,EQ,894.95,906,890,889.45,900.4,902.75,898.31,"1,269.00",882.9,"10,54,695","94,74,46,171.35","54,923"
20-Dec-24,EQ,907,916.5,882.9,907.1,894.45,889.45,897.62,"1,269.00",882.9,"24,41,036","2,19,11,21,687.75","76,349"
19-Dec-24,EQ,908,918,901.1,909.35,907,907.1,911.1,"1,269.00",900,"25,89,001","2,35,88,39,192.10","81,315"
18-Dec-24,EQ,905,916.9,904.45,904.9,909.9,909.35,911.11,"1,269.00",900,"11,54,541","1,05,19,12,756.65","47,012"
17-Dec-24,EQ,920.35,922,900,920.35,903,904.9,907.16,"1,269.00",900,"15,97,108","1,44,88,34,958.45","83,975"
16-Dec-24,EQ,929.7,934.65,917,929.7,920,920.35,922.86,"1,269.00",900.5,"8,48,667","78,31,99,467.80","47,563"
13-Dec-24,EQ,919.25,931,907.4,921.25,929,929.7,921.91,"1,269.00",900.5,"12,78,151","1,17,83,37,636.95","66,381"
12-Dec-24,EQ,937,938.45,916,935.05,922,921.25,920.81,"1,269.00",900.5,"19,13,140","1,76,16,40,058.60","82,904"
11-Dec-24,EQ,931.4,942.95,929.4,926.75,934.6,935.05,936.71,"1,269.00",900.5,"13,56,603","1,27,07,48,584.80","59,234"
10-Dec-24,EQ,938.5,938.6,925.2,933.95,929.3,926.75,929.37,"1,269.00",900.5,"19,90,270","1,84,96,90,441.25","62,205"
09-Dec-24,EQ,974,974,931.5,974.45,934.2,933.95,938.12,"1,269.00",900.5,"36,79,131","3,45,14,71,956.35","1,06,541"
06-Dec-24,EQ,970,976.4,964.1,966.45,975.5,974.45,972.45,"1,269.00",900.5,"18,93,714","1,84,15,44,595.75","51,299"
05-Dec-24,EQ,965,970.95,946.25,961.2,965.8,966.45,962.37,"1,269.00",900.5,"20,43,341","1,96,64,57,693.55","1,01,787"
04-Dec-24,EQ,956,963.85,949.65,955,960.2,961.2,958.88,"1,269.00",900.5,"12,36,061","1,18,52,29,607.55","50,537"
03-Dec-24,EQ,958.05,959.75,948.65,957,955.9,955,953.18,"1,269.00",900.5,"13,46,981","1,28,39,10,998.75","93,274"
02-Dec-24,EQ,958.65,962.85,947.3,958.65,956.15,957,954.73,"1,269.00",900.5,"9,16,920","87,54,13,154.75","52,790"
29-Nov-24,EQ,941.8,964.4,941.5,941.05,958.9,958.65,958.53,"1,269.00",900.5,"14,82,253","1,42,07,86,905.20","63,521"
28-Nov-24,EQ,960,972.7,938.3,960.05,945.8,941.05,950.23,"1,269.00",900.5,"18,34,887","1,74,35,69,118.30","1,14,123"
27-Nov-24,EQ,964,965.1,952.7,963.55,961.25,960.05,958.63,"1,269.00",900.5,"7,86,040","75,35,18,759.10","46,046"
