Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jan-25,EQ,"1,719.00","1,736.40","1,705.35","1,713.40","1,724.00","1,723.05","1,723.17","1,807.70","1,162.95","12,57,165","2,16,63,05,557.45","74,878"
23-Jan-25,EQ,"1,671.00","1,729.50","1,671.00","1,683.95","1,710.60","1,713.40","1,717.28","1,807.70","1,162.95","22,55,334","3,87,30,29,229.80","1,13,105"
22-Jan-25,EQ,"1,642.70","1,688.75","1,635.25","1,640.50","1,679.20","1,683.95","1,672.65","1,807.70","1,162.95","24,78,559","4,14,57,61,213.05","1,34,548"
21-Jan-25,EQ,"1,674.60","1,703.55","1,636.10","1,674.60","1,639.00","1,640.50","1,667.27","1,807.70","1,162.95","25,00,061","4,16,82,74,877.10","1,09,039"
20-Jan-25,EQ,"1,663.00","1,687.15","1,625.00","1,660.30","1,675.00","1,674.60","1,660.68","1,807.70","1,162.95","48,56,268","8,06,46,94,445.55","1,81,234"
17-Jan-25,EQ,"1,684.75","1,699.90","1,650.40","1,687.65","1,657.65","1,660.30","1,675.61","1,807.70","1,162.95","25,02,285","4,19,28,59,656.55","1,41,047"
16-Jan-25,EQ,"1,695.00","1,722.85","1,670.95","1,675.95","1,680.00","1,687.65","1,687.03","1,807.70","1,162.95","23,34,315","3,93,80,63,959.75","98,267"
15-Jan-25,EQ,"1,658.00","1,679.00","1,650.15","1,647.50","1,675.00","1,675.95","1,670.15","1,807.70","1,162.95","10,79,742","1,80,33,29,947.80","67,321"
14-Jan-25,EQ,"1,669.90","1,670.45","1,621.30","1,659.65","1,647.10","1,647.50","1,649.43","1,807.70","1,162.95","24,80,288","4,09,10,64,036.95","1,04,449"
13-Jan-25,EQ,"1,698.05","1,701.00","1,649.90","1,705.60","1,668.00","1,659.65","1,669.60","1,807.70","1,162.95","14,01,093","2,33,92,68,204.75","1,04,110"
10-Jan-25,EQ,"1,653.10","1,714.00","1,636.30","1,642.80","1,701.80","1,705.60","1,696.66","1,807.70","1,162.95","22,08,899","3,74,77,59,367.60","1,15,785"
09-Jan-25,EQ,"1,663.70","1,669.50","1,638.20","1,663.75","1,648.00","1,642.80","1,647.94","1,807.70","1,162.95","7,74,065","1,27,56,15,652.95","66,376"
08-Jan-25,EQ,"1,667.95","1,669.95","1,634.00","1,671.15","1,668.00","1,663.75","1,651.71","1,807.70","1,162.95","6,73,344","1,11,21,72,380.20","56,724"
07-Jan-25,EQ,"1,693.00","1,705.00","1,661.50","1,686.30","1,669.65","1,671.15","1,673.05","1,807.70","1,162.95","13,05,847","2,18,47,43,318.25","62,136"
06-Jan-25,EQ,"1,704.75","1,711.30","1,675.00","1,689.45","1,688.00","1,686.30","1,688.68","1,807.70","1,162.95","9,45,693","1,59,69,70,921.85","52,991"
03-Jan-25,EQ,"1,712.20","1,729.85","1,681.35","1,726.95","1,690.50","1,689.45","1,693.01","1,807.70","1,162.95","24,48,088","4,14,46,39,484.15","1,32,866"
02-Jan-25,EQ,"1,709.00","1,735.70","1,696.00","1,703.85","1,723.00","1,726.95","1,720.62","1,807.70","1,162.95","12,38,954","2,13,17,62,861.00","83,090"
01-Jan-25,EQ,"1,700.60","1,717.60","1,691.25","1,706.20","1,704.00","1,703.85","1,701.67","1,807.70","1,162.95","7,21,479","1,22,77,17,464.05","46,979"
31-Dec-24,EQ,"1,729.00","1,729.00","1,682.45","1,740.85","1,705.00","1,706.20","1,700.94","1,807.70","1,162.95","14,59,630","2,48,27,44,468.40","78,537"
30-Dec-24,EQ,"1,715.00","1,773.60","1,693.80","1,711.65","1,729.35","1,740.85","1,735.32","1,807.70","1,162.95","67,81,500","11,76,80,47,583.15","1,11,244"
27-Dec-24,EQ,"1,704.95","1,716.50","1,698.70","1,698.70","1,709.00","1,711.65","1,709.93","1,807.70","1,162.95","6,47,945","1,10,79,38,575.50","41,429"
26-Dec-24,EQ,"1,707.10","1,714.65","1,690.65","1,704.90","1,696.00","1,698.70","1,699.74","1,807.70","1,162.95","6,59,638","1,12,12,15,129.80","69,837"
24-Dec-24,EQ,"1,717.60","1,725.35","1,695.70","1,712.40","1,710.00","1,704.90","1,710.90","1,807.70","1,162.95","7,11,026","1,21,64,94,887.80","55,610"
23-Dec-24,EQ,"1,690.90","1,725.00","1,685.85","1,686.05","1,710.30","1,712.40","1,707.44","1,807.70","1,162.95","13,01,223","2,22,17,64,924.45","93,098"
20-Dec-24,EQ,"1,770.00","1,770.85","1,680.10","1,754.35","1,685.85","1,686.05","1,705.09","1,807.70","1,162.95","29,21,154","4,98,08,24,684.60","1,07,467"
19-Dec-24,EQ,"1,739.95","1,768.90","1,735.00","1,778.90","1,752.70","1,754.35","1,754.10","1,807.70","1,162.95","24,02,819","4,21,47,84,978.40","1,02,501"
